epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,54923.5,0.508,0.52868,0.68627,0.78514,0.8,0.833,0.59288,0.3608,0.32176,0.51755,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,56152.1,0.50673,0.52573,0.68117,0.85168,0.7907,0.84857,0.60654,0.33353,0.30543,0.49813,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,57375.9,0.49397,0.52521,0.67362,0.88225,0.74419,0.85661,0.64695,0.31027,0.3154,0.48973,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,58600.6,0.48582,0.52374,0.67241,0.82222,0.8186,0.86047,0.65666,0.29027,0.29651,0.46418,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,59827.6,0.51227,0.52963,0.69589,0.85386,0.7609,0.86288,0.6314,0.32471,0.32075,0.48947,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,61053.8,0.49726,0.51203,0.6831,0.83666,0.78621,0.84405,0.63322,0.36192,0.32455,0.53801,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,62278.8,0.49881,0.50572,0.68306,0.8123,0.74474,0.80878,0.57373,0.36907,0.33991,0.52058,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,63504.6,0.4867,0.50169,0.68077,0.8961,0.80226,0.8975,0.69038,0.30188,0.26655,0.48699,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,64729.1,0.48681,0.50544,0.67295,0.7768,0.78605,0.80562,0.58238,0.32995,0.30981,0.4896,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,65953,0.49467,0.51208,0.68297,0.84219,0.76948,0.85584,0.6685,0.29642,0.26809,0.46401,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,67173,0.48713,0.51332,0.67184,0.77514,0.73023,0.76595,0.5469,0.32212,0.35267,0.4915,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,68395.2,0.47553,0.48346,0.66566,0.80028,0.78276,0.85241,0.63904,0.28639,0.28985,0.46966,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,69617.4,0.47032,0.47452,0.65934,0.78847,0.7455,0.83222,0.60521,0.30712,0.32143,0.48199,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,70839,0.46992,0.47765,0.65892,0.79724,0.8186,0.84718,0.60113,0.31387,0.30237,0.48001,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,72058.3,0.47403,0.47534,0.67106,0.5364,0.69767,0.59925,0.37439,0.35823,0.37782,0.50166,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,73276.9,0.46432,0.46243,0.65625,0.88228,0.80176,0.8853,0.66154,0.3112,0.28884,0.48469,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,74494.6,0.46343,0.4826,0.65955,0.88181,0.83287,0.88133,0.66969,0.29857,0.28814,0.46904,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,75706.7,0.4545,0.44976,0.64196,0.89426,0.82607,0.89808,0.71481,0.274,0.25864,0.44783,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,76924.7,0.45952,0.45792,0.6489,0.88727,0.78605,0.89151,0.70355,0.2754,0.2732,0.45425,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,78146.7,0.47111,0.46541,0.66721,0.9188,0.73684,0.85975,0.64442,0.28592,0.29896,0.4615,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,79364.6,0.45335,0.45932,0.64989,0.85879,0.82791,0.87656,0.67026,0.28684,0.27904,0.46134,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,80582.1,0.45578,0.45823,0.64849,0.89975,0.74419,0.86466,0.66488,0.29534,0.30602,0.45673,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,81796.8,0.44876,0.44615,0.6438,0.71988,0.62326,0.71288,0.47249,0.47312,0.38883,0.57722,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,83013.5,0.44517,0.41738,0.64153,0.77325,0.49171,0.61009,0.39144,0.55098,0.51761,0.60736,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,84223.8,0.44273,0.43055,0.63568,0.78055,0.76279,0.82141,0.59318,0.30196,0.31189,0.46279,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,85439.3,0.44978,0.42796,0.64795,0.70907,0.65581,0.73794,0.48907,0.38067,0.33806,0.51486,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,86658.4,0.44911,0.43744,0.64778,0.83041,0.78605,0.86119,0.62772,0.31345,0.29966,0.48089,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,87873.3,0.44526,0.43278,0.64654,0.80281,0.8,0.84836,0.61234,0.30383,0.2726,0.46246,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,89093.1,0.43753,0.43411,0.63758,0.89217,0.80811,0.88728,0.66469,0.28751,0.2669,0.45186,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,90310.3,0.44856,0.42286,0.64684,0.86636,0.82326,0.89159,0.70043,0.27472,0.24755,0.4545,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,91521.8,0.43177,0.4186,0.63349,0.96576,0.69767,0.87644,0.68373,0.27506,0.25811,0.45009,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,92734.1,0.4279,0.40444,0.62951,0.88331,0.80978,0.89143,0.68305,0.28528,0.25261,0.46371,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,93949,0.44047,0.42566,0.64494,0.82937,0.77209,0.86432,0.6466,0.30196,0.28478,0.46854,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
